ConfirmedCases,Country/Region,Date,Fatalities,ForecastId,Id,Lat,Long,Province/State,Place,Day,Cases/day,Fatals/day,Cases yesterday,Cases last week,Cases 2weeks ago,Cases 3weeks ago,Fatals yesterday,Fatals last week,Fatals 2weeks ago,Fatals 3weeks ago,Days since 1st case,Days since 10th case,Days since 100th case,Days since 1st fatal,Days since 10th fatal,Days since 100th fatal,Smoking rate,Nominal GDP,GDP based on PPP,GDP per capita,GDP based on PPP share of world total,Unemployment rate,Population,Life expectancy,Population density,Median age,Urban population %,Hospital beds,Sex ratio,Death rate from lung diseases
0.0,Afghanistan,2020-01-22,0.0,,1.0,33.0,65.0,,Afghanistan,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-23,0.0,,2.0,33.0,65.0,,Afghanistan,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-24,0.0,,3.0,33.0,65.0,,Afghanistan,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-25,0.0,,4.0,33.0,65.0,,Afghanistan,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-26,0.0,,5.0,33.0,65.0,,Afghanistan,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-27,0.0,,6.0,33.0,65.0,,Afghanistan,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-28,0.0,,7.0,33.0,65.0,,Afghanistan,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-29,0.0,,8.0,33.0,65.0,,Afghanistan,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-30,0.0,,9.0,33.0,65.0,,Afghanistan,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
0.0,Afghanistan,2020-01-31,0.0,,10.0,33.0,65.0,,Afghanistan,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.4755174405242,18.734,76.486,513.108,0.054,,36.51,64.5,60.0,18.0,25.0,0.5,1.03,37.62
